title,url,issn,eissn,publisher,language,country,oa_type,positioning,partition,source,source_url,page,fetched_at
Critical Care,https://www.oaj.com.cn/Journal/critical-care,,1364-8535,BioMed Central,English,,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,20,2026-05-21T07:21:51+00:00
DIGITAL COMMUNICATIONS AND NETWORKS,https://www.oaj.com.cn/Journal/digital-communications-and-networks,2468-5925,2352-8648,"KeAi Communications Co., Ltd.",English,China,钻石OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,21,2026-05-21T07:21:51+00:00
DRONES,https://www.oaj.com.cn/Journal/drones,,2504-446X,MDPI,English,SWITZERLAND,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,21,2026-05-21T07:21:51+00:00
EBIOMEDICINE,https://www.oaj.com.cn/Journal/ebiomedicine,2352-3964,2352-3964,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,21,2026-05-21T07:21:51+00:00
DEVELOPMENTS IN THE BUILT ENVIRONMENT,https://www.oaj.com.cn/Journal/developments-in-the-built-environment,2666-1659,2666-1659,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,21,2026-05-21T07:21:51+00:00
DIGITAL DISCOVERY,https://www.oaj.com.cn/Journal/digital-discovery,,2635-098X,Royal Society of Chemistry,English,United Kingdom,Gold OA,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,21,2026-05-21T07:21:51+00:00
EARTH AND SPACE SCIENCE,https://www.oaj.com.cn/Journal/earth-and-space-science,,2333-5084,Wiley,English,USA,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,21,2026-05-21T07:21:51+00:00
DIVERSITY AND DISTRIBUTIONS,https://www.oaj.com.cn/Journal/diversity-and-distributions,1366-9516,1472-4642,Wiley,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,21,2026-05-21T07:21:51+00:00
EARTH'S FUTURE,https://www.oaj.com.cn/Journal/earth-s-future,,2328-4277,Wiley,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,21,2026-05-21T07:21:51+00:00
DRUG DELIVERY,https://www.oaj.com.cn/Journal/drug-delivery,,1521-0464,Taylor & Francis,English,United Kingdom,,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,21,2026-05-21T07:21:51+00:00
Earth System Governance,https://www.oaj.com.cn/Journal/earth-system-governance,2589-8116,2589-8116,Elsevier,English,Netherlands,Gold OA,,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,21,2026-05-21T07:21:51+00:00
ECOLOGICAL PROCESSES,https://www.oaj.com.cn/Journal/ecological-processes,,2192-1709,Springer,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,22,2026-05-21T07:21:51+00:00
EES CATALYSIS,https://www.oaj.com.cn/Journal/ees-catalysis,2753-801X,2753-801X,Royal Society of Chemistry,English,United Kingdom,Gold OA,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,22,2026-05-21T07:21:51+00:00
ECONOMICS AND PHILOSOPHY,https://www.oaj.com.cn/Journal/economics-and-philosophy,0266-2671,1474-0028,Cambridge University Press,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,22,2026-05-21T07:21:51+00:00
ECOLOGICAL INDICATORS,https://www.oaj.com.cn/Journal/ecological-indicators,1470-160X,1872-7034,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,22,2026-05-21T07:21:51+00:00
ECOLOGICAL INFORMATICS,https://www.oaj.com.cn/Journal/ecological-informatics,1574-9541,1878-0512,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,22,2026-05-21T07:21:51+00:00
ECLINICALMEDICINE,https://www.oaj.com.cn/Journal/eclinicalmedicine,2589-5370,2589-5370,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,22,2026-05-21T07:21:51+00:00
ECOGRAPHY,https://www.oaj.com.cn/Journal/ecography,0906-7590,1600-0587,Wiley,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,22,2026-05-21T07:21:51+00:00
ECOLOGY AND EVOLUTION,https://www.oaj.com.cn/Journal/ecology-and-evolution,,2045-7758,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,22,2026-05-21T07:21:51+00:00
ECOMAT,https://www.oaj.com.cn/Journal/ecomat,,2567-3173,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,22,2026-05-21T07:21:51+00:00
EFSA JOURNAL,https://www.oaj.com.cn/Journal/efsa-journal,,1831-4732,Wiley,English,USA,Gold OA,Frontier Science Journal,4区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,22,2026-05-21T07:21:51+00:00
ENERGY SUSTAINABILITY AND SOCIETY,https://www.oaj.com.cn/Journal/energy-sustainability-and-society,,2192-0567,Springer,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,23,2026-05-21T07:21:51+00:00
EJNMMI PHYSICS,https://www.oaj.com.cn/Journal/ejnmmi-physics,,2197-7364,Springer,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,23,2026-05-21T07:21:51+00:00
EMBO REPORTS,https://www.oaj.com.cn/Journal/embo-reports,,1469-3178,Springer Nature,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,23,2026-05-21T07:21:51+00:00
EMBO MOLECULAR MEDICINE,https://www.oaj.com.cn/Journal/embo-molecular-medicine,,1757-4684,Springer Nature,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,23,2026-05-21T07:21:51+00:00
ENERGY ADVANCES,https://www.oaj.com.cn/Journal/energy-advances,2753-1457,2753-1457,Royal Society of Chemistry,English,United Kingdom,Gold OA,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,23,2026-05-21T07:21:51+00:00
ENERGY STRATEGY REVIEWS,https://www.oaj.com.cn/Journal/energy-strategy-reviews,2211-467X,2211-4688,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,23,2026-05-21T07:21:51+00:00
ENERGY REPORTS,https://www.oaj.com.cn/Journal/energy-reports,,2352-4847,Elsevier,English,NETHERLANDS,,,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,23,2026-05-21T07:21:51+00:00
ENERGY & ENVIRONMENTAL MATERIALS,https://www.oaj.com.cn/Journal/energy-environmental-materials,2575-0348,2575-0356,Wiley,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,23,2026-05-21T07:21:51+00:00
ENGINEERED SCIENCE,https://www.oaj.com.cn/Journal/engineered-science,2576-988X,2576-9898,Engineered Science Publisher LLC,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,23,2026-05-21T07:21:51+00:00
EMERGING MICROBES & INFECTIONS,https://www.oaj.com.cn/Journal/emerging-microbes-infections,,2222-1751,Taylor & Francis,English,United Kingdom,,,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,23,2026-05-21T07:21:51+00:00
ENVIRONMENTAL EVIDENCE,https://www.oaj.com.cn/Journal/environmental-evidence,,2047-2382,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,24,2026-05-21T07:21:51+00:00
ENVIRONMENTAL HEALTH,https://www.oaj.com.cn/Journal/environmental-health,,1476-069X,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,24,2026-05-21T07:21:51+00:00
ENGLISH LANGUAGE & LINGUISTICS,https://www.oaj.com.cn/Journal/english-language-linguistics,1360-6743,1469-4379,Cambridge University Press,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,24,2026-05-21T07:21:51+00:00
ENGINEERING SCIENCE AND TECHNOLOGY-AN INTERNATIONAL JOURNAL-JESTECH,https://www.oaj.com.cn/Journal/engineering-science-and-technology-an-international-journal-jestech,2215-0986,2215-0986,Elsevier,English,India,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,24,2026-05-21T07:21:51+00:00
ENGINEERING,https://www.oaj.com.cn/Journal/engineering,2095-8099,2096-0026,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,24,2026-05-21T07:21:51+00:00
ENVIRONMENT INTERNATIONAL,https://www.oaj.com.cn/Journal/environment-international,0160-4120,1873-6750,Elsevier,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,24,2026-05-21T07:21:51+00:00
ENVIRONMENTAL MICROBIOLOGY REPORTS,https://www.oaj.com.cn/Journal/environmental-microbiology-reports,,1758-2229,Wiley,English,USA,,Sound Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,24,2026-05-21T07:21:51+00:00
ENGINEERING IN LIFE SCIENCES,https://www.oaj.com.cn/Journal/engineering-in-life-sciences,1618-0240,1618-2863,Wiley,English,USA,,Sound Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,24,2026-05-21T07:21:51+00:00
ENGINEERING APPLICATIONS OF COMPUTATIONAL FLUID MECHANICS,https://www.oaj.com.cn/Journal/engineering-applications-of-computational-fluid-mechanics,,1997-003X,Taylor & Francis,English,United Kingdom,,,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,24,2026-05-21T07:21:51+00:00
Environment & Health,https://www.oaj.com.cn/Journal/environment-health,2097-4817,2833-8278,American Chemical Society,英文,USA,金色OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,24,2026-05-21T07:21:51+00:00
ENVIRONMENTAL SCIENCES EUROPE,https://www.oaj.com.cn/Journal/environmental-sciences-europe,2190-4707,2190-4715,Springer,English,USA,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,25,2026-05-21T07:21:51+00:00
ENVIRONMENTAL MICROBIOME,https://www.oaj.com.cn/Journal/environmental-microbiome,,2524-6372,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,25,2026-05-21T07:21:51+00:00
EPIGENETICS & CHROMATIN,https://www.oaj.com.cn/Journal/epigenetics-chromatin,,1756-8935,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,25,2026-05-21T07:21:51+00:00
EPJ DATA SCIENCE,https://www.oaj.com.cn/Journal/epj-data-science,,2193-1127,Springer,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,25,2026-05-21T07:21:51+00:00
EPIDEMIOLOGY AND PSYCHIATRIC SCIENCES,https://www.oaj.com.cn/Journal/epidemiology-and-psychiatric-sciences,2045-7960,2045-7979,Cambridge University Press,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,25,2026-05-21T07:21:51+00:00
EPILEPSY CURRENTS,https://www.oaj.com.cn/Journal/epilepsy-currents,1535-7597,1535-7511,Sage,English,USA,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,25,2026-05-21T07:21:51+00:00
ENVIRONMENTAL SCIENCE AND ECOTECHNOLOGY,https://www.oaj.com.cn/Journal/environmental-science-and-ecotechnology,2666-4984,2666-4984,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,25,2026-05-21T07:21:51+00:00
ENVIRONMENTAL TECHNOLOGY & INNOVATION,https://www.oaj.com.cn/Journal/environmental-technology-innovation,2352-1864,2352-1864,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,25,2026-05-21T07:21:51+00:00
ENVIRONMENTAL SCIENCE-ATMOSPHERES,https://www.oaj.com.cn/Journal/environmental-science-atmospheres,2634-3606,2634-3606,Royal Society of Chemistry,English,United Kingdom,,,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,25,2026-05-21T07:21:51+00:00
ENVIRONMENTAL POLLUTANTS AND BIOAVAILABILITY,https://www.oaj.com.cn/Journal/environmental-pollutants-and-bioavailability,,2639-5940,Taylor & Francis,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,25,2026-05-21T07:21:51+00:00
EPJ QUANTUM TECHNOLOGY,https://www.oaj.com.cn/Journal/epj-quantum-technology,,2196-0763,Springer,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,26,2026-05-21T07:21:51+00:00
EUROPEAN JOURNAL OF AGEING,https://www.oaj.com.cn/Journal/european-journal-of-ageing,,1613-9380,Springer,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,26,2026-05-21T07:21:51+00:00
EUROPEAN CONSTITUTIONAL LAW REVIEW,https://www.oaj.com.cn/Journal/european-constitutional-law-review,1574-0196,1744-5515,Cambridge University Press,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,26,2026-05-21T07:21:51+00:00
ESMO OPEN,https://www.oaj.com.cn/Journal/esmo-open,2059-7029,2059-7029,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,26,2026-05-21T07:21:51+00:00
ES FOOD & AGROFORESTRY,https://www.oaj.com.cn/Journal/es-food-agroforestry,2678-7295,2687-7309,Engineered Science Publisher LLC,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,26,2026-05-21T07:21:51+00:00
ES MATERIALS & MANUFACTURING,https://www.oaj.com.cn/Journal/es-materials-manufacturing,2578-0611,2578-062X,Engineered Science Publisher LLC,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,26,2026-05-21T07:21:51+00:00
ESC HEART FAILURE,https://www.oaj.com.cn/Journal/esc-heart-failure,,2055-5822,Wiley,English,USA,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,26,2026-05-21T07:21:51+00:00
EUROPEAN CELLS & MATERIALS,https://www.oaj.com.cn/Journal/european-cells-materials,,1473-2262,"FORUM MULTIMEDIA PUBLISHING, LLC",English,,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,26,2026-05-21T07:21:51+00:00
eScience,https://www.oaj.com.cn/Journal/escience,2097-2431,2667-1417,"KeAi Communications Co., Ltd.",English,,,,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,26,2026-05-21T07:21:51+00:00
ES ENERGY & ENVIRONMENT,https://www.oaj.com.cn/Journal/es-energy-environment,2578-0646,2578-0654,Engineered Science Publisher LLC,English,USA,Gold OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,26,2026-05-21T07:21:51+00:00
EUROPEAN JOURNAL OF POPULATION-REVUE EUROPEENNE DE DEMOGRAPHIE,https://www.oaj.com.cn/Journal/european-journal-of-population-revue-europeenne-de-demographie,,1572-9885,Springer,Multi-Language,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,27,2026-05-21T07:21:51+00:00
EUROPEAN JOURNAL OF APPLIED MATHEMATICS,https://www.oaj.com.cn/Journal/european-journal-of-applied-mathematics,0956-7925,1469-4425,Cambridge University Press,English,USA,Gold OA,Frontier Science Journal,4区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,27,2026-05-21T07:21:51+00:00
EUROPEAN POLITICAL SCIENCE REVIEW,https://www.oaj.com.cn/Journal/european-political-science-review,1755-7739,1755-7747,Cambridge University Press,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,27,2026-05-21T07:21:51+00:00
EUROPEAN PSYCHIATRY,https://www.oaj.com.cn/Journal/european-psychiatry,0924-9338,1778-3585,Cambridge University Press,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,27,2026-05-21T07:21:51+00:00
EUROPEAN JOURNAL OF CELL BIOLOGY,https://www.oaj.com.cn/Journal/european-journal-of-cell-biology,0171-9335,1618-1298,Elsevier,Multi-Language,Germany,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,27,2026-05-21T07:21:51+00:00
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,https://www.oaj.com.cn/Journal/european-journal-of-pharmaceutical-sciences,,0928-0987,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,27,2026-05-21T07:21:51+00:00
EUROPEAN JOURNAL OF NEUROLOGY,https://www.oaj.com.cn/Journal/european-journal-of-neurology,1351-5101,1468-1331,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,27,2026-05-21T07:21:51+00:00
EUROPEAN JOURNAL OF SPORT SCIENCE,https://www.oaj.com.cn/Journal/european-journal-of-sport-science,1746-1391,1536-7290,Wiley-VCH,English,United Kingdom,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,27,2026-05-21T07:21:51+00:00
EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,https://www.oaj.com.cn/Journal/european-journal-of-psychotraumatology,,2000-8066,Taylor & Francis,English,United Kingdom,,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,27,2026-05-21T07:21:51+00:00
EUROPEAN JOURNAL OF INTERNATIONAL SECURITY,https://www.oaj.com.cn/Journal/european-journal-of-international-security,2057-5637,2057-5645,Cambridge University Press,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,27,2026-05-21T07:21:51+00:00
FIRE ECOLOGY,https://www.oaj.com.cn/Journal/fire-ecology,,1933-9747,Springer,English,USA,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,28,2026-05-21T07:21:51+00:00
EXPERIMENTAL HEMATOLOGY & ONCOLOGY,https://www.oaj.com.cn/Journal/experimental-hematology-oncology,,2162-3619,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,28,2026-05-21T07:21:51+00:00
FLUIDS AND BARRIERS OF THE CNS,https://www.oaj.com.cn/Journal/fluids-and-barriers-of-the-cns,,2045-8118,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,28,2026-05-21T07:21:51+00:00
EYE AND VISION,https://www.oaj.com.cn/Journal/eye-and-vision,,2326-0254,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,28,2026-05-21T07:21:51+00:00
EUROPEAN TRANSPORT RESEARCH REVIEW,https://www.oaj.com.cn/Journal/european-transport-research-review,1867-0717,1866-8887,Springer,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,28,2026-05-21T07:21:51+00:00
FINANCIAL INNOVATION,https://www.oaj.com.cn/Journal/financial-innovation,,2199-4730,Springer,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,28,2026-05-21T07:21:51+00:00
EUROPEAN UROLOGY OPEN SCIENCE,https://www.oaj.com.cn/Journal/european-urology-open-science,,2666-1683,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,28,2026-05-21T07:21:51+00:00
EVOLUTIONARY APPLICATIONS,https://www.oaj.com.cn/Journal/evolutionary-applications,,1752-4571,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,28,2026-05-21T07:21:51+00:00
EXPERT REVIEW OF VACCINES,https://www.oaj.com.cn/Journal/expert-review-of-vaccines,,1744-8395,Taylor & Francis,English,United Kingdom,,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,28,2026-05-21T07:21:51+00:00
Extracellular Vesicles and Circulating Nucleic Acids,https://www.oaj.com.cn/Journal/extracellular-vesicles-and-circulating-nucleic-acids,,2767-6641,OAE Publishing Inc.,English,USA,金色OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,28,2026-05-21T07:21:51+00:00
FOREST ECOSYSTEMS,https://www.oaj.com.cn/Journal/forest-ecosystems,2095-6355,2197-5620,"KeAi Communications Co., Ltd.",English,China,金色OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,29,2026-05-21T07:21:51+00:00
FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,https://www.oaj.com.cn/Journal/frontiers-in-cell-and-developmental-biology,,2296-634X,Frontiers Media S.A.,English,Switzerland,Gold OA,Sound Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,29,2026-05-21T07:21:51+00:00
FRONTIERS IN IMMUNOLOGY,https://www.oaj.com.cn/Journal/frontiers-in-immunology,,1664-3224,Frontiers Media S.A.,English,Switzerland,Gold OA,Sound Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,29,2026-05-21T07:21:51+00:00
FRONTIERS IN CARDIOVASCULAR MEDICINE,https://www.oaj.com.cn/Journal/frontiers-in-cardiovascular-medicine,,2297-055X,Frontiers Media S.A.,English,Switzerland,Gold OA,Sound Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,29,2026-05-21T07:21:51+00:00
FOOD SCIENCE AND HUMAN WELLNESS,https://www.oaj.com.cn/Journal/food-science-and-human-wellness,2097-0765,2213-4530,清华大学出版社,English,China,金色OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,29,2026-05-21T07:21:51+00:00
"FORUM OF MATHEMATICS, SIGMA",https://www.oaj.com.cn/Journal/forum-of-mathematics-sigma,,2050-5094,Cambridge University Press,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,29,2026-05-21T07:21:51+00:00
"FORUM OF MATHEMATICS, PI",https://www.oaj.com.cn/Journal/forum-of-mathematics-pi,,2050-5086,Cambridge University Press,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,29,2026-05-21T07:21:51+00:00
Friction,https://www.oaj.com.cn/Journal/friction,2223-7690,2223-7704,Tsinghua University Press,英文,China,,,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,29,2026-05-21T07:21:51+00:00
FOOD AND ENERGY SECURITY,https://www.oaj.com.cn/Journal/food-and-energy-security,,2048-3694,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,29,2026-05-21T07:21:51+00:00
FOOD SCIENCE & NUTRITION,https://www.oaj.com.cn/Journal/food-science-nutrition,,2048-7177,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,29,2026-05-21T07:21:51+00:00
FRONTIERS OF ARCHITECTURAL RESEARCH,https://www.oaj.com.cn/Journal/frontiers-of-architectural-research,2095-2635,2095-2643,"KeAi Communications Co., Ltd.",English,China,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,30,2026-05-21T07:21:51+00:00
GENES & DISEASES,https://www.oaj.com.cn/Journal/genes-diseases,2352-4820,2352-3042,"KeAi Communications Co., Ltd.",English,Netherlands,金色OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,30,2026-05-21T07:21:51+00:00
FRONTIERS IN NUTRITION,https://www.oaj.com.cn/Journal/frontiers-in-nutrition,,2296-861X,Frontiers Media S.A.,English,Switzerland,Gold OA,Sound Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,30,2026-05-21T07:21:51+00:00
GENETICS SELECTION EVOLUTION,https://www.oaj.com.cn/Journal/genetics-selection-evolution,,1297-9686,BioMed Central,Multi-Language,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,30,2026-05-21T07:21:51+00:00
GENOME MEDICINE,https://www.oaj.com.cn/Journal/genome-medicine,,1756-994X,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,30,2026-05-21T07:21:51+00:00
GENOME BIOLOGY,https://www.oaj.com.cn/Journal/genome-biology,,1474-760X,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,30,2026-05-21T07:21:51+00:00
FRONTIERS IN ZOOLOGY,https://www.oaj.com.cn/Journal/frontiers-in-zoology,,1742-9994,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,30,2026-05-21T07:21:51+00:00
FUEL PROCESSING TECHNOLOGY,https://www.oaj.com.cn/Journal/fuel-processing-technology,0378-3820,1873-7188,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,30,2026-05-21T07:21:51+00:00
GENES BRAIN AND BEHAVIOR,https://www.oaj.com.cn/Journal/genes-brain-and-behavior,1601-1848,1601-183X,Wiley,English,USA,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,30,2026-05-21T07:21:51+00:00
Future Foods,https://www.oaj.com.cn/Journal/future-foods,2666-8335,2666-8335,Elsevier,English,Netherlands,Gold OA,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,30,2026-05-21T07:21:51+00:00
GEOSCIENCE FRONTIERS,https://www.oaj.com.cn/Journal/geoscience-frontiers,1674-9871,2588-9192,Elsevier,English,China,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,31,2026-05-21T07:21:51+00:00
GEOMECHANICS AND GEOPHYSICS FOR GEO-ENERGY AND GEO-RESOURCES,https://www.oaj.com.cn/Journal/geomechanics-and-geophysics-for-geo-energy-and-geo-resources,,2363-8427,Springer,English,Germany,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,31,2026-05-21T07:21:51+00:00
GEOLOGICAL MAGAZINE,https://www.oaj.com.cn/Journal/geological-magazine,0016-7568,1469-5081,Cambridge University Press,English,USA,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,31,2026-05-21T07:21:51+00:00
