title,issn,eissn,year,jif,jif_without_self_cites,source_url
CRIT CARE,1364-8535,1466-609X,2024,9.300,8.900,https://journalsimpactfactors.com/journal.php?id=644
J INTEGR PLANT BIOL,1672-9072,1744-7909,2024,9.300,8.800,https://journalsimpactfactors.com/journal.php?id=645
ACTA MATER,1359-6454,1873-2453,2024,9.300,8.600,https://journalsimpactfactors.com/journal.php?id=646
INT J COMPUT VISION,0920-5691,1573-1405,2024,9.300,8.600,https://journalsimpactfactors.com/journal.php?id=647
FOUND TRENDS COMPUT,1572-2740,1572-2759,2024,9.300,9.300,https://journalsimpactfactors.com/journal.php?id=648
PROG ELECTROMAGN RES,1070-4698,1559-8985,2024,9.300,9.100,https://journalsimpactfactors.com/journal.php?id=649
JAMA OPHTHALMOL,2168-6165,2168-6173,2024,9.200,8.600,https://journalsimpactfactors.com/journal.php?id=650
BRIT J ANAESTH,0007-0912,1471-6771,2024,9.200,8.300,https://journalsimpactfactors.com/journal.php?id=651
IEEE T MOBILE COMPUT,1536-1233,1558-0660,2024,9.200,7.800,https://journalsimpactfactors.com/journal.php?id=652
LANDSCAPE URBAN PLAN,0169-2046,1872-6062,2024,9.200,8.700,https://journalsimpactfactors.com/journal.php?id=653
ANGIOGENESIS,0969-6970,1573-7209,2024,9.200,8.900,https://journalsimpactfactors.com/journal.php?id=655
ENERG POLICY,0301-4215,1873-6777,2024,9.200,8.800,https://journalsimpactfactors.com/journal.php?id=656
J INTERN MED,0954-6820,1365-2796,2024,9.200,9.100,https://journalsimpactfactors.com/journal.php?id=657
ARCH BRONCONEUMOL,0300-2896,1579-2129,2024,9.200,8.500,https://journalsimpactfactors.com/journal.php?id=659
SUSTAIN MATER TECHNO,2214-9937,2214-9937,2024,9.200,8.700,https://journalsimpactfactors.com/journal.php?id=660
GREEN CHEM,1463-9262,1463-9270,2024,9.200,8.600,https://journalsimpactfactors.com/journal.php?id=661
SEMIN IMMUNOPATHOL,1863-2297,1863-2300,2024,9.200,9.200,https://journalsimpactfactors.com/journal.php?id=662
ADV NUTR,2161-8313,2156-5376,2024,9.200,9.000,https://journalsimpactfactors.com/journal.php?id=663
COLLAGEN LEATHER,2097-1419,2731-6998,2024,9.200,8.400,https://journalsimpactfactors.com/journal.php?id=664
ANESTHESIOLOGY,0003-3022,1528-1175,2024,9.100,8.500,https://journalsimpactfactors.com/journal.php?id=665
J NUCL MED,0161-5505,1535-5667,2024,9.100,8.400,https://journalsimpactfactors.com/journal.php?id=666
GLOBAL ENVIRON CHANG,0959-3780,1872-9495,2024,9.100,8.800,https://journalsimpactfactors.com/journal.php?id=667
P NATL ACAD SCI USA,0027-8424,1091-6490,2024,9.100,8.900,https://journalsimpactfactors.com/journal.php?id=668
ACM T INFORM SYST,1046-8188,1558-2868,2024,9.100,7.800,https://journalsimpactfactors.com/journal.php?id=669
J CACHEXIA SARCOPENI,2190-5991,2190-6009,2024,9.100,8.800,https://journalsimpactfactors.com/journal.php?id=670
LIVER CANCER,2235-1795,1664-5553,2024,9.100,8.400,https://journalsimpactfactors.com/journal.php?id=672
PSYCHOL MARKET,0742-6046,1520-6793,2024,9.100,8.000,https://journalsimpactfactors.com/journal.php?id=673
CORP SOC RESP ENV MA,1535-3958,1535-3966,2024,9.100,7.600,https://journalsimpactfactors.com/journal.php?id=674
COMPUT IND,0166-3615,1872-6194,2024,9.100,8.700,https://journalsimpactfactors.com/journal.php?id=675
COMPUT-AIDED CIV INF,1093-9687,1467-8667,2024,9.100,6.800,https://journalsimpactfactors.com/journal.php?id=676
CURR OPIN FOOD SCI,2214-7993,2214-8000,2024,9.100,9.000,https://journalsimpactfactors.com/journal.php?id=677
NANO LETT,1530-6984,1530-6992,2024,9.100,8.600,https://journalsimpactfactors.com/journal.php?id=678
RENEW ENERG,0960-1481,1879-0682,2024,9.100,8.200,https://journalsimpactfactors.com/journal.php?id=679
ACS SENSORS,2379-3694,2379-3694,2024,9.100,8.500,https://journalsimpactfactors.com/journal.php?id=680
DROPLET,2769-2159,2731-4375,2024,9.100,8.400,https://journalsimpactfactors.com/journal.php?id=681
SMALL METHODS,2366-9608,2366-9608,2024,9.100,9.000,https://journalsimpactfactors.com/journal.php?id=682
ANNU REV SOCIOL,0360-0572,1545-2115,2024,9.000,8.700,https://journalsimpactfactors.com/journal.php?id=683
TRENDS CARDIOVAS MED,1050-1738,1873-2615,2024,9.000,8.700,https://journalsimpactfactors.com/journal.php?id=684
OSTEOARTHR CARTILAGE,1063-4584,1522-9653,2024,9.000,8.200,https://journalsimpactfactors.com/journal.php?id=685
MANAG REV Q,2198-1620,2198-1639,2024,9.000,7.700,https://journalsimpactfactors.com/journal.php?id=686
PHYS REV LETT,0031-9007,1079-7114,2024,9.000,8.300,https://journalsimpactfactors.com/journal.php?id=687
BIOL PSYCHIAT,0006-3223,1873-2402,2024,9.000,8.700,https://journalsimpactfactors.com/journal.php?id=688
ALCOHOL RES-CURR REV,1535-7414,1930-0573,2024,9.000,8.900,https://journalsimpactfactors.com/journal.php?id=689
INT J CONTEMP HOSP M,0959-6119,1757-1049,2024,9.000,8.000,https://journalsimpactfactors.com/journal.php?id=690
J TRAVEL TOUR MARK,1054-8408,1540-7306,2024,9.000,5.800,https://journalsimpactfactors.com/journal.php?id=691
HUM RESOUR MANAGE-US,0090-4848,1099-050X,2024,9.000,8.200,https://journalsimpactfactors.com/journal.php?id=692
CELL GENOM,2666-979X,2666-979X,2024,9.000,8.700,https://journalsimpactfactors.com/journal.php?id=693
J MANAGE,0149-2063,1557-1211,2024,9.000,8.400,https://journalsimpactfactors.com/journal.php?id=694
BIORESOURCE TECHNOL,0960-8524,1873-2976,2024,9.000,8.200,https://journalsimpactfactors.com/journal.php?id=695
J MEMBRANE SCI,0376-7388,1873-3123,2024,9.000,7.300,https://journalsimpactfactors.com/journal.php?id=696
J INT BUS STUD,0047-2506,1478-6990,2024,9.000,8.100,https://journalsimpactfactors.com/journal.php?id=697
NANO RES,1998-0124,1998-0000,2024,9.000,8.600,https://journalsimpactfactors.com/journal.php?id=698
LEARN INDIVID DIFFER,1041-6080,1873-3425,2024,9.000,8.600,https://journalsimpactfactors.com/journal.php?id=699
SEP PURIF TECHNOL,1383-5866,1873-3794,2024,9.000,7.600,https://journalsimpactfactors.com/journal.php?id=700
COMPUT HUM BEHAV,0747-5632,1873-7692,2024,8.900,8.500,https://journalsimpactfactors.com/journal.php?id=705
GEOSCI FRONT,1674-9871,1674-9871,2024,8.900,8.600,https://journalsimpactfactors.com/journal.php?id=706
STROKE,0039-2499,1524-4628,2024,8.900,8.500,https://journalsimpactfactors.com/journal.php?id=707
IEEE INTERNET THINGS,2327-4662,2327-4662,2024,8.900,7.500,https://journalsimpactfactors.com/journal.php?id=708
IEEE T NEUR NET LEAR,2162-237X,2162-2388,2024,8.900,8.000,https://journalsimpactfactors.com/journal.php?id=709
MECH SYST SIGNAL PR,0888-3270,1096-1216,2024,8.900,7.700,https://journalsimpactfactors.com/journal.php?id=710
ECON GEOGR,0013-0095,1944-8287,2024,8.900,8.800,https://journalsimpactfactors.com/journal.php?id=711
COMPUT ELECTRON AGR,0168-1699,1872-7107,2024,8.900,7.400,https://journalsimpactfactors.com/journal.php?id=712
J PHARM ANAL,2095-1779,2214-0883,2024,8.900,8.600,https://journalsimpactfactors.com/journal.php?id=713
CHINESE CHEM LETT,1001-8417,1878-5964,2024,8.900,7.900,https://journalsimpactfactors.com/journal.php?id=715
J BUS VENTURING,0883-9026,1873-2003,2024,8.900,7.800,https://journalsimpactfactors.com/journal.php?id=716
COMPOS PART A-APPL S,1359-835X,1878-5840,2024,8.900,8.300,https://journalsimpactfactors.com/journal.php?id=717
CHIN HERB MED,1674-6384,1674-6384,2024,8.900,8.500,https://journalsimpactfactors.com/journal.php?id=718
DIALOGUES CLIN NEURO,1294-8322,1958-5969,2024,8.900,8.900,https://journalsimpactfactors.com/journal.php?id=719
CRIT REV SOLID STATE,1040-8436,1547-6561,2024,8.900,8.800,https://journalsimpactfactors.com/journal.php?id=721
AM J CLIN DERMATOL,1175-0561,1179-1888,2024,8.800,8.700,https://journalsimpactfactors.com/journal.php?id=722
BJS-BRIT J SURG,0007-1323,1365-2168,2024,8.800,8.300,https://journalsimpactfactors.com/journal.php?id=723
EDUC PSYCHOL REV,1040-726X,1573-336X,2024,8.800,7.800,https://journalsimpactfactors.com/journal.php?id=724
J ECON PERSPECT,0895-3309,1944-7965,2024,8.800,8.700,https://journalsimpactfactors.com/journal.php?id=725
TRANSPORT RES E-LOG,1366-5545,1878-5794,2024,8.800,7.300,https://journalsimpactfactors.com/journal.php?id=727
J WORLD BUS,1090-9516,1878-5573,2024,8.800,8.300,https://journalsimpactfactors.com/journal.php?id=728
VIRTUAL PHYS PROTOTY,1745-2759,1745-2767,2024,8.800,7.900,https://journalsimpactfactors.com/journal.php?id=729
ENVIRON SCI TECH LET,2328-8930,N/A,2024,8.800,8.500,https://journalsimpactfactors.com/journal.php?id=731
CRIT REV FOOD SCI,1040-8398,1549-7852,2024,8.800,8.600,https://journalsimpactfactors.com/journal.php?id=732
TOPICS CURR CHEM,2365-0869,2364-8961,2024,8.800,8.800,https://journalsimpactfactors.com/journal.php?id=733
ANNU REV ANIM BIOSCI,2165-8102,2165-8110,2024,8.700,8.700,https://journalsimpactfactors.com/journal.php?id=734
ANNU REV STAT APPL,2326-8298,2326-831X,2024,8.700,8.600,https://journalsimpactfactors.com/journal.php?id=735
ECON ANAL POLICY,0313-5926,0313-5926,2024,8.700,8.000,https://journalsimpactfactors.com/journal.php?id=736
DEV CELL,1534-5807,1878-1551,2024,8.700,8.600,https://journalsimpactfactors.com/journal.php?id=738
MACH INTELL RES,2731-538X,2731-5398,2024,8.700,8.300,https://journalsimpactfactors.com/journal.php?id=739
J PURCH SUPPLY MANAG,1478-4092,1873-6505,2024,8.700,7.200,https://journalsimpactfactors.com/journal.php?id=740
J CROHNS COLITIS,1873-9946,1876-4479,2024,8.700,8.100,https://journalsimpactfactors.com/journal.php?id=741
IEEE T SYST MAN CY-S,2168-2216,2168-2232,2024,8.700,7.600,https://journalsimpactfactors.com/journal.php?id=742
INT J COAL SCI TECHN,2095-8293,2198-7823,2024,8.700,8.100,https://journalsimpactfactors.com/journal.php?id=743
INT J STROKE,1747-4930,1747-4949,2024,8.700,8.200,https://journalsimpactfactors.com/journal.php?id=744
CANCER METAST REV,0167-7659,1573-7233,2024,8.700,8.700,https://journalsimpactfactors.com/journal.php?id=748
APPL SURF SCI ADV,2666-5239,2666-5239,2024,8.700,8.500,https://journalsimpactfactors.com/journal.php?id=749
SURF SCI REP,0167-5729,1879-274X,2024,8.700,8.600,https://journalsimpactfactors.com/journal.php?id=750
UKR J PHYS OPT,1609-1833,N/A,2024,8.600,7.800,https://journalsimpactfactors.com/journal.php?id=751
GONDWANA RES,1342-937X,1878-0571,2024,8.600,8.300,https://journalsimpactfactors.com/journal.php?id=752
CHEST,0012-3692,1931-3543,2024,8.600,8.200,https://journalsimpactfactors.com/journal.php?id=753
IEEE T GEOSCI REMOTE,0196-2892,1558-0644,2024,8.600,5.900,https://journalsimpactfactors.com/journal.php?id=754
EUR J INFORM SYST,0960-085X,1476-9344,2024,8.600,8.300,https://journalsimpactfactors.com/journal.php?id=755
J STROKE,2287-6391,2287-6405,2024,8.600,8.400,https://journalsimpactfactors.com/journal.php?id=756
INT J APPL EARTH OBS,1569-8432,1872-826X,2024,8.600,7.700,https://journalsimpactfactors.com/journal.php?id=757
J SERV RES-US,1094-6705,1552-7379,2024,8.600,8.200,https://journalsimpactfactors.com/journal.php?id=758
MATER TODAY ENERGY,2468-6069,2468-6069,2024,8.600,8.300,https://journalsimpactfactors.com/journal.php?id=759
ANNU REV GENET,0066-4197,1545-2948,2024,8.600,8.600,https://journalsimpactfactors.com/journal.php?id=760
J ROAD ENG,2097-0498,2773-0077,2024,8.600,8.100,https://journalsimpactfactors.com/journal.php?id=761
NEUROLOGY,0028-3878,1526-632X,2024,8.500,8.200,https://journalsimpactfactors.com/journal.php?id=762
OPTICA,2334-2536,2334-2536,2024,8.500,8.200,https://journalsimpactfactors.com/journal.php?id=763
CLIN MICROBIOL INFEC,1198-743X,1469-0691,2024,8.500,8.100,https://journalsimpactfactors.com/journal.php?id=764
HORTIC RES-ENGLAND,2662-6810,2052-7276,2024,8.500,7.800,https://journalsimpactfactors.com/journal.php?id=765
SWARM EVOL COMPUT,2210-6502,2210-6510,2024,8.500,7.000,https://journalsimpactfactors.com/journal.php?id=766
ASTROPHYS J SUPPL S,0067-0049,1538-4365,2024,8.500,8.000,https://journalsimpactfactors.com/journal.php?id=767
CORROS SCI,0010-938X,1879-0496,2024,8.500,7.300,https://journalsimpactfactors.com/journal.php?id=768
MED J AUSTRALIA,0025-729X,1326-5377,2024,8.500,7.900,https://journalsimpactfactors.com/journal.php?id=769
INT J BIOL MACROMOL,0141-8130,1879-0003,2024,8.500,6.700,https://journalsimpactfactors.com/journal.php?id=770
DIABETES METAB J,2233-6079,2233-6087,2024,8.500,8.100,https://journalsimpactfactors.com/journal.php?id=771
INT J ARTIF INTELL E,1560-4292,1560-4306,2024,8.500,8.000,https://journalsimpactfactors.com/journal.php?id=772
T TIANJIN U,1006-4982,1995-8196,2024,8.500,8.200,https://journalsimpactfactors.com/journal.php?id=773
VIEW-CHINA,2688-3988,2688-268X,2024,8.500,8.400,https://journalsimpactfactors.com/journal.php?id=774
PERSPECT PSYCHOL SCI,1745-6916,1745-6924,2024,8.400,8.300,https://journalsimpactfactors.com/journal.php?id=775
AM J OBSTET GYNECOL,0002-9378,1097-6868,2024,8.400,7.800,https://journalsimpactfactors.com/journal.php?id=776
CIRC-HEART FAIL,1941-3289,1941-3297,2024,8.400,8.200,https://journalsimpactfactors.com/journal.php?id=778
REV FINANC,1572-3097,1573-692X,2024,8.400,8.400,https://journalsimpactfactors.com/journal.php?id=779
ENG GEOL,0013-7952,1872-6917,2024,8.400,7.000,https://journalsimpactfactors.com/journal.php?id=780
NPJ CLIM ATMOS SCI,2397-3722,2397-3722,2024,8.400,7.800,https://journalsimpactfactors.com/journal.php?id=781
BRAIN STIMUL,1935-861X,1876-4754,2024,8.400,7.800,https://journalsimpactfactors.com/journal.php?id=782
IEEE T INTELL TRANSP,1524-9050,1558-0016,2024,8.400,7.400,https://journalsimpactfactors.com/journal.php?id=783
SUPPLY CHAIN MANAG,1359-8546,1758-6852,2024,8.400,7.500,https://journalsimpactfactors.com/journal.php?id=784
J ENVIRON MANAGE,0301-4797,1095-8630,2024,8.400,7.800,https://journalsimpactfactors.com/journal.php?id=785
ANNU REV RESOUR ECON,1941-1340,1941-1359,2024,8.400,8.200,https://journalsimpactfactors.com/journal.php?id=786
ACTA PHARMACOL SIN,1671-4083,1745-7254,2024,8.400,8.200,https://journalsimpactfactors.com/journal.php?id=787
CSH PERSPECT BIOL,1943-0264,1943-0264,2024,8.400,8.200,https://journalsimpactfactors.com/journal.php?id=788
J PHYS-PHOTONICS,2515-7647,2515-7647,2024,8.400,8.200,https://journalsimpactfactors.com/journal.php?id=789
J CO2 UTIL,2212-9820,2212-9839,2024,8.400,8.000,https://journalsimpactfactors.com/journal.php?id=790
ANNU REV NUCL PART S,0163-8998,1545-4134,2024,8.400,8.200,https://journalsimpactfactors.com/journal.php?id=791
CANCER BIOL MED,2095-3941,2095-3941,2024,8.400,7.700,https://journalsimpactfactors.com/journal.php?id=792
INTEGR ENVIRON ASSES,1551-3777,1551-3793,2024,8.400,8.200,https://journalsimpactfactors.com/journal.php?id=793
INT J HOSP MANAG,0278-4319,1873-4693,2024,8.300,6.800,https://journalsimpactfactors.com/journal.php?id=794
TELEMAT INFORM,0736-5853,N/A,2024,8.300,8.000,https://journalsimpactfactors.com/journal.php?id=795
PHYTOMEDICINE,0944-7113,1618-095X,2024,8.300,7.700,https://journalsimpactfactors.com/journal.php?id=796
BMC MED,1741-7015,1741-7015,2024,8.300,8.200,https://journalsimpactfactors.com/journal.php?id=797
EMBO MOL MED,1757-4676,1757-4684,2024,8.300,8.300,https://journalsimpactfactors.com/journal.php?id=798
UNDERGR SPACE,2096-2754,2467-9674,2024,8.300,7.700,https://journalsimpactfactors.com/journal.php?id=799
IEEE T COMMUN,0090-6778,1558-0857,2024,8.300,7.700,https://journalsimpactfactors.com/journal.php?id=800
INFORM SYST FRONT,1387-3326,1572-9419,2024,8.300,7.700,https://journalsimpactfactors.com/journal.php?id=801
IEEE T TRANSP ELECTR,2332-7782,2332-7782,2024,8.300,7.100,https://journalsimpactfactors.com/journal.php?id=803
ANNU REV VIROL,2327-056X,2327-0578,2024,8.300,8.200,https://journalsimpactfactors.com/journal.php?id=804
EMBO J,0261-4189,1460-2075,2024,8.300,8.200,https://journalsimpactfactors.com/journal.php?id=805
COMPUT ENVIRON URBAN,0198-9715,1873-7587,2024,8.300,7.900,https://journalsimpactfactors.com/journal.php?id=806
AUTOIMMUN REV,1568-9972,1873-0183,2024,8.300,8.000,https://journalsimpactfactors.com/journal.php?id=808
BBA-REV CANCER,0304-419X,1879-2561,2024,8.300,8.200,https://journalsimpactfactors.com/journal.php?id=809
NPG ASIA MATER,1884-4049,1884-4057,2024,8.300,8.300,https://journalsimpactfactors.com/journal.php?id=810
INT J HYDROGEN ENERG,0360-3199,1879-3487,2024,8.300,6.200,https://journalsimpactfactors.com/journal.php?id=811
SMALL SCI,2688-4046,2688-4046,2024,8.300,8.100,https://journalsimpactfactors.com/journal.php?id=812
IMMUNOL REV,0105-2896,1600-065X,2024,8.300,8.300,https://journalsimpactfactors.com/journal.php?id=813
PROG THEOR EXP PHYS,2050-3911,N/A,2024,8.300,8.000,https://journalsimpactfactors.com/journal.php?id=814
AM J KIDNEY DIS,0272-6386,1523-6838,2024,8.200,7.900,https://journalsimpactfactors.com/journal.php?id=815
AM J TRANSPLANT,1600-6135,1600-6143,2024,8.200,7.700,https://journalsimpactfactors.com/journal.php?id=816
INFORM MANAGE-AMSTER,0378-7206,1872-7530,2024,8.200,7.600,https://journalsimpactfactors.com/journal.php?id=817
J INT FIN MANAG ACC,0954-1314,1467-646X,2024,8.200,8.000,https://journalsimpactfactors.com/journal.php?id=818
PART FIBRE TOXICOL,1743-8977,1743-8977,2024,8.200,7.900,https://journalsimpactfactors.com/journal.php?id=819
SUSTAIN DEV,0968-0802,1099-1719,2024,8.200,6.900,https://journalsimpactfactors.com/journal.php?id=822
IEEE COMMUN MAG,0163-6804,1558-1896,2024,8.200,8.000,https://journalsimpactfactors.com/journal.php?id=823
HYPERTENSION,0194-911X,1524-4563,2024,8.200,7.800,https://journalsimpactfactors.com/journal.php?id=824
CANCER IMMUNOL RES,2326-6066,2326-6074,2024,8.200,8.100,https://journalsimpactfactors.com/journal.php?id=825
J CARD FAIL,1071-9164,1532-8414,2024,8.200,7.700,https://journalsimpactfactors.com/journal.php?id=826
FREE RADICAL BIO MED,0891-5849,1873-4596,2024,8.200,7.900,https://journalsimpactfactors.com/journal.php?id=828
FRICTION,2223-7690,2223-7704,2024,8.200,7.700,https://journalsimpactfactors.com/journal.php?id=829
FOOD CHEM X,2590-1575,2590-1575,2024,8.200,7.600,https://journalsimpactfactors.com/journal.php?id=833
ACS APPL MATER INTER,1944-8244,1944-8252,2024,8.200,7.700,https://journalsimpactfactors.com/journal.php?id=834
FUTURE FOODS,2666-8335,2666-8335,2024,8.200,7.900,https://journalsimpactfactors.com/journal.php?id=835
MATER TODAY NANO,2588-8420,2588-8420,2024,8.200,8.100,https://journalsimpactfactors.com/journal.php?id=836
PROG NUCL MAG RES SP,0079-6565,1873-3301,2024,8.200,8.000,https://journalsimpactfactors.com/journal.php?id=837
WIRES NANOMED NANOBI,1939-5116,1939-0041,2024,8.200,8.100,https://journalsimpactfactors.com/journal.php?id=838
BRIT J EDUC TECHNOL,0007-1013,1467-8535,2024,8.100,7.600,https://journalsimpactfactors.com/journal.php?id=839
HEALTH AFFAIR,0278-2715,0278-2715,2024,8.100,7.900,https://journalsimpactfactors.com/journal.php?id=840
J STAT SOFTW,1548-7660,1548-7660,2024,8.100,8.000,https://journalsimpactfactors.com/journal.php?id=841
AM J HUM GENET,0002-9297,1537-6605,2024,8.100,7.800,https://journalsimpactfactors.com/journal.php?id=843
DRUG DELIV,1071-7544,1521-0464,2024,8.100,8.100,https://journalsimpactfactors.com/journal.php?id=844
NEW PHYTOL,0028-646X,1469-8137,2024,8.100,7.500,https://journalsimpactfactors.com/journal.php?id=845
DIAGN INTERV IMAG,2211-5684,2211-5684,2024,8.100,6.600,https://journalsimpactfactors.com/journal.php?id=846
TUMOUR VIRUS RES,2666-6790,2666-6790,2024,8.100,7.900,https://journalsimpactfactors.com/journal.php?id=847
CURR POLLUT REP,2198-6592,2198-6592,2024,8.100,7.900,https://journalsimpactfactors.com/journal.php?id=848
MOL HORTIC,2730-9401,2730-9401,2024,8.100,7.500,https://journalsimpactfactors.com/journal.php?id=849
ADOLESC RES REV,2363-8346,2363-8354,2024,8.100,8.000,https://journalsimpactfactors.com/journal.php?id=850
J TOXICOL ENV HEAL B,1093-7404,1521-6950,2024,8.100,7.800,https://journalsimpactfactors.com/journal.php?id=851
APOPTOSIS,1360-8185,1573-675X,2024,8.100,8.000,https://journalsimpactfactors.com/journal.php?id=852
REGEN BIOMATER,2056-3418,2056-3426,2024,8.100,6.500,https://journalsimpactfactors.com/journal.php?id=853
J HAZARD MATER LETT,2666-9110,2666-9110,2024,8.100,7.900,https://journalsimpactfactors.com/journal.php?id=855
INT J STEM EDUC,2196-7822,2196-7822,2024,8.000,7.300,https://journalsimpactfactors.com/journal.php?id=856
INVEST RADIOL,0020-9996,1536-0210,2024,8.000,6.700,https://journalsimpactfactors.com/journal.php?id=857
BASIC RES CARDIOL,0300-8428,1435-1803,2024,8.000,7.100,https://journalsimpactfactors.com/journal.php?id=858
J EUR ACAD DERMATOL,0926-9959,1468-3083,2024,8.000,7.500,https://journalsimpactfactors.com/journal.php?id=859
IEEE T INF FOREN SEC,1556-6013,1556-6021,2024,8.000,6.900,https://journalsimpactfactors.com/journal.php?id=860
PETROL EXPLOR DEV+,2096-4803,1876-3804,2024,8.000,6.900,https://journalsimpactfactors.com/journal.php?id=861
RES POLICY,0048-7333,1873-7625,2024,8.000,7.500,https://journalsimpactfactors.com/journal.php?id=862
REV ENDOCR METAB DIS,1389-9155,1573-2606,2024,8.000,7.800,https://journalsimpactfactors.com/journal.php?id=863
ENG APPL ARTIF INTEL,0952-1976,1873-6769,2024,8.000,7.000,https://journalsimpactfactors.com/journal.php?id=864
GEOGR SUSTAIN,2096-7438,2666-6839,2024,8.000,7.600,https://journalsimpactfactors.com/journal.php?id=866
J PROD INNOVAT MANAG,0737-6782,1540-5885,2024,8.000,7.200,https://journalsimpactfactors.com/journal.php?id=867
J NETW COMPUT APPL,1084-8045,1095-8592,2024,8.000,7.600,https://journalsimpactfactors.com/journal.php?id=868
FOOD RES INT,0963-9969,1873-7145,2024,8.000,7.500,https://journalsimpactfactors.com/journal.php?id=869
SCI TOTAL ENVIRON,0048-9697,1879-1026,2024,8.000,7.400,https://journalsimpactfactors.com/journal.php?id=870
BIOFABRICATION,1758-5082,1758-5090,2024,8.000,7.700,https://journalsimpactfactors.com/journal.php?id=871
CONSTR BUILD MATER,0950-0618,1879-0526,2024,8.000,6.100,https://journalsimpactfactors.com/journal.php?id=872
MATER TODAY ADV,2590-0498,2590-0498,2024,8.000,7.900,https://journalsimpactfactors.com/journal.php?id=873
ACM T COMPUT HEALTHC,2691-1957,2637-8051,2024,8.000,7.900,https://journalsimpactfactors.com/journal.php?id=874
IEEE T NETW SCI ENG,2327-4697,2327-4697,2024,7.900,7.200,https://journalsimpactfactors.com/journal.php?id=876
GENOM PROTEOM BIOINF,1672-0229,2210-3244,2024,7.900,7.800,https://journalsimpactfactors.com/journal.php?id=877
RESULTS ENG,2590-1230,2590-1230,2024,7.900,5.700,https://journalsimpactfactors.com/journal.php?id=878
TOUR REV,1660-5373,1759-8451,2024,7.900,6.200,https://journalsimpactfactors.com/journal.php?id=879
ECOL LETT,1461-023X,1461-0248,2024,7.900,7.500,https://journalsimpactfactors.com/journal.php?id=880
J HEADACHE PAIN,1129-2369,1129-2377,2024,7.900,6.600,https://journalsimpactfactors.com/journal.php?id=881
HAEMATOLOGICA,0390-6078,1592-8721,2024,7.900,7.600,https://journalsimpactfactors.com/journal.php?id=882
BREAST,0960-9776,1532-3080,2024,7.900,7.700,https://journalsimpactfactors.com/journal.php?id=883
J SERV MANAGE,1757-5818,1757-5826,2024,7.900,7.200,https://journalsimpactfactors.com/journal.php?id=884
NEUROSCI BIOBEHAV R,0149-7634,1873-7528,2024,7.900,7.600,https://journalsimpactfactors.com/journal.php?id=885
MATER RES LETT,2166-3831,2166-3831,2024,7.900,7.500,https://journalsimpactfactors.com/journal.php?id=886
TRANSPORT RES C-EMER,0968-090X,1879-2359,2024,7.900,6.900,https://journalsimpactfactors.com/journal.php?id=887
MATER DESIGN,0264-1275,1873-4197,2024,7.900,7.500,https://journalsimpactfactors.com/journal.php?id=888
ENTREP THEORY PRACT,1042-2587,1540-6520,2024,7.900,7.500,https://journalsimpactfactors.com/journal.php?id=889
MATER TODAY SUSTAIN,2589-2347,2589-2347,2024,7.900,7.600,https://journalsimpactfactors.com/journal.php?id=890
J POWER SOURCES,0378-7753,1873-2755,2024,7.900,7.300,https://journalsimpactfactors.com/journal.php?id=891
J NANOSTRUCTURE CHEM,2008-9244,2193-8865,2024,7.900,7.900,https://journalsimpactfactors.com/journal.php?id=892
J OBES METAB SYNDR,2508-6235,2508-7576,2024,7.900,7.700,https://journalsimpactfactors.com/journal.php?id=893
ANNU REV GENOM HUM G,1527-8204,1545-293X,2024,7.900,7.900,https://journalsimpactfactors.com/journal.php?id=894
J ORTHOP TRANSL,2214-031X,2214-031X,2024,7.800,7.400,https://journalsimpactfactors.com/journal.php?id=895
EUR REV SOC PSYCHOL,1046-3283,1479-277X,2024,7.800,7.800,https://journalsimpactfactors.com/journal.php?id=896
ANN TOURISM RES,0160-7383,1873-7722,2024,7.800,6.900,https://journalsimpactfactors.com/journal.php?id=897
PSYCHOL METHODS,1082-989X,1939-1463,2024,7.800,7.500,https://journalsimpactfactors.com/journal.php?id=898
EUROSURVEILLANCE,1025-496X,1560-7917,2024,7.800,7.500,https://journalsimpactfactors.com/journal.php?id=899
J MIX METHOD RES,1558-6898,1558-6901,2024,7.800,6.400,https://journalsimpactfactors.com/journal.php?id=900
JPAD-J PREV ALZHEIM,2274-5807,2426-0266,2024,7.800,7.400,https://journalsimpactfactors.com/journal.php?id=901
J HOSP TOUR MANAG,1447-6770,1839-5260,2024,7.800,7.100,https://journalsimpactfactors.com/journal.php?id=902
RESOUR ENVIRON SUST,2666-9161,2666-9161,2024,7.800,7.500,https://journalsimpactfactors.com/journal.php?id=903
FORTSCHR PHYS,0015-8208,1521-3978,2024,7.800,7.400,https://journalsimpactfactors.com/journal.php?id=904
J INTERACT MARK,1094-9968,1520-6653,2024,7.800,7.300,https://journalsimpactfactors.com/journal.php?id=905
J SUSTAIN TOUR,0966-9582,1747-7646,2024,7.800,7.000,https://journalsimpactfactors.com/journal.php?id=906
J INTEL CONNECT VEH,2399-9802,2399-9802,2024,7.800,7.300,https://journalsimpactfactors.com/journal.php?id=908
HEPATOBIL SURG NUTR,2304-3881,2304-389X,2024,7.800,7.100,https://journalsimpactfactors.com/journal.php?id=909
PROCESS SAF ENVIRON,0957-5820,1744-3598,2024,7.800,6.600,https://journalsimpactfactors.com/journal.php?id=910
MICROBIOL MOL BIOL R,1092-2172,1098-5557,2024,7.800,7.800,https://journalsimpactfactors.com/journal.php?id=911
